SKU	            Device_Type
O-HUSAP6XXG1	Smartphone
O-HUSAP6XXG20	Smartphone
O-HUSAP6XXG3	Smartphone
O-HUSAP6XXG4	Smartphone
O-HUSAP6XXG5	Smartphone
O-HUSAP6XXG77	Smartphone
O-HUSAP7MXD0	Smartphone
O-HUSAP7MXG00	Smartphone
O-HUSAP7MXG12	Smartphone
O-HUSAP7MXG1	Smartphone
O-HUSAP7MXG20	Smartphone
O-HUSAP7MXG3	Smartphone
O-HUSAP7MXG4	Smartphone
O-HUSAP7MXG5	Smartphone
O-HUSAP7MXG77	Smartphone
O-HUSAP7XXD0	Smartphone
O-HUSAP7XXG00	Smartphone
O-HUSAP7XXG12	Smartphone
O-HUSAP7XXG1	Smartphone
O-HUSAP7XXG20	Smartphone
O-HUSAP7XXG3	Smartphone
O-HUSAP7XXG4	Smartphone
O-HUSAP7XXG5	Smartphone
O-HUSAP7XXG77	Smartphone
O-HUSGN6PXD0	Smartphone
O-HUSGN6PXG00	Smartphone
O-HUSGN6PXG12	Smartphone
O-HUSGN6PXG1	Smartphone
O-HUSGN6PXG20	Smartphone
O-HUSGN6PXG3	Smartphone
O-HUSGN6PXG4	Smartphone
O-HUSGN6PXG5	Smartphone
O-HUSGN6PXG77	Smartphone
O-HUSHH10XD0	Smartphone
